suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,151779,10597,7432,ok
Ed25519,0,151639,6148,2700,ok
Ed25519,1,151750,6148,2700,ok
ML-DSA-65,1,151925,10597,7445,ok
ML-DSA-65,2,151686,10597,7441,ok
Ed25519,2,151629,6148,2700,ok
Ed25519,3,151817,6148,2700,ok
ML-DSA-65,3,152207,10597,7443,ok
ML-DSA-65,4,151872,10597,7440,ok
Ed25519,4,151557,6148,2700,ok
Ed25519,5,152042,6148,2700,ok
ML-DSA-65,5,152329,10599,7445,ok
ML-DSA-65,6,152698,10599,7434,ok
Ed25519,6,151955,6148,2700,ok
Ed25519,7,152066,6148,2700,ok
ML-DSA-65,7,152199,10597,7447,ok
ML-DSA-65,8,151929,10597,7442,ok
Ed25519,8,151776,6148,2700,ok
Ed25519,9,152094,6148,2700,ok
ML-DSA-65,9,151938,10597,7445,ok
ML-DSA-65,10,152291,10597,7432,ok
Ed25519,10,151870,6148,2700,ok
Ed25519,11,152187,6148,2700,ok
ML-DSA-65,11,151872,10597,7440,ok
ML-DSA-65,12,151867,10599,7431,ok
Ed25519,12,151763,6148,2700,ok
Ed25519,13,151626,6148,2700,ok
ML-DSA-65,13,151933,10597,7435,ok
ML-DSA-65,14,151997,10599,7434,ok
Ed25519,14,151735,6148,2700,ok
Ed25519,15,151961,6148,2700,ok
ML-DSA-65,15,152168,10597,7446,ok
ML-DSA-65,16,160158,11782,8623,ok
Ed25519,16,151867,6148,2700,ok
Ed25519,17,151741,6148,2700,ok
ML-DSA-65,17,152708,10597,7434,ok
ML-DSA-65,18,152121,10599,7434,ok
Ed25519,18,152575,6148,2700,ok
Ed25519,19,151620,6148,2700,ok
ML-DSA-65,19,152533,10599,7435,ok
