suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,288180,10706,7579,ok
Ed25519,0,151562,4948,2700,ok
Ed25519,1,151896,4948,2700,ok
ML-DSA-65,1,287406,10706,8674,ok
ML-DSA-65,2,289373,10706,8702,ok
Ed25519,2,151772,4948,2700,ok
Ed25519,3,151605,4948,2700,ok
ML-DSA-65,3,287420,10706,8377,ok
ML-DSA-65,4,287826,10706,8670,ok
Ed25519,4,151620,4948,2700,ok
Ed25519,5,152157,4948,2700,ok
ML-DSA-65,5,287572,10706,8664,ok
ML-DSA-65,6,288507,10706,8697,ok
Ed25519,6,151544,4948,2700,ok
Ed25519,7,151732,4948,2700,ok
ML-DSA-65,7,286072,10732,7579,ok
ML-DSA-65,8,288546,10706,8676,ok
Ed25519,8,151719,4948,2700,ok
Ed25519,9,152033,4948,2700,ok
ML-DSA-65,9,288116,10706,8674,ok
ML-DSA-65,10,287750,10706,8527,ok
Ed25519,10,151659,4948,2700,ok
Ed25519,11,151953,4948,2700,ok
ML-DSA-65,11,288490,10706,8705,ok
ML-DSA-65,12,287553,10706,8690,ok
Ed25519,12,152049,4948,2700,ok
Ed25519,13,151638,4948,2700,ok
ML-DSA-65,13,287755,10707,7592,ok
ML-DSA-65,14,287604,10706,8699,ok
Ed25519,14,152278,4948,2700,ok
Ed25519,15,151743,4948,2700,ok
ML-DSA-65,15,288637,10706,8667,ok
ML-DSA-65,16,288143,10706,8669,ok
Ed25519,16,151914,4948,2700,ok
Ed25519,17,151613,4948,2700,ok
ML-DSA-65,17,288532,10706,8671,ok
ML-DSA-65,18,288459,10706,7584,ok
Ed25519,18,151701,4948,2700,ok
Ed25519,19,151699,4948,2700,ok
ML-DSA-65,19,288224,10706,8673,ok
