epoch,cpu_busy_percent,cpu_pressure_avg10,load1
1789498117,98.725,27.20,10.59
1789498122,54.667,22.14,10.70
1789498127,14.858,12.46,10.00
1789498132,5.763,8.53,9.36
1789498137,13.695,4.68,9.01
1789498142,13.740,3.14,8.53
1789498147,17.870,1.72,8.17
1789498152,20.676,1.30,8.07
1789498157,23.026,0.71,7.91
1789498162,19.772,0.47,7.67
1789498167,22.451,0.26,7.38
1789498172,36.584,0.17,7.11
1789498177,99.038,15.84,8.70
1789498182,99.338,27.87,11.05
1789498187,99.637,36.85,12.33
1789498192,98.575,39.57,13.02
1789498197,41.034,26.91,12.70
1789498202,27.918,18.04,12.16
1789498207,34.042,10.27,11.51
1789498212,33.974,6.88,11.15
1789498217,30.621,3.92,10.81
1789498222,54.126,2.81,10.51
1789498227,98.888,22.49,12.31
1789498232,99.575,32.13,13.97
1789498237,99.725,40.31,15.65
1789498242,99.588,44.38,18.08
1789498247,99.688,46.50,18.96
1789498252,99.812,50.73,22.40
1789498257,99.900,55.69,23.57
1789498262,96.026,57.16,24.65
1789498267,65.583,37.64,23.80
1789498272,99.013,39.67,24.05
1789498277,99.563,44.18,24.53
1789498282,99.638,45.86,24.81
1789498287,99.637,45.50,24.98
1789498292,99.713,45.19,24.98
1789498297,99.513,46.85,25.63
1789498302,88.981,49.90,26.86
1789498307,74.511,36.97,25.27
1789498312,61.547,31.64,25.25
1789498317,50.037,17.70,24.27
1789498322,60.047,13.46,22.72
