epoch,cpu_busy_percent,cpu_pressure_avg10,load1
1789497727,6.526,0.00,2.07
1789497732,5.802,0.00,2.07
1789497737,6.786,0.00,2.14
1789497742,5.863,0.00,2.13
1789497747,5.437,0.00,2.04
1789497752,5.127,0.00,2.12
1789497757,5.769,0.00,2.03
1789497762,4.717,0.00,1.94
1789497767,5.941,0.00,1.87
1789497772,8.501,0.00,1.72
1789497777,11.122,0.00,1.82
1789497782,7.780,0.00,1.84
1789497787,14.676,0.00,1.85
1789497792,8.758,0.00,1.86
1789497797,5.833,0.00,2.11
1789497802,10.612,0.00,2.10
1789497807,6.465,0.00,2.10
1789497812,8.348,0.00,2.17
1789497817,11.513,0.00,2.07
1789497822,6.170,0.00,2.15
1789497827,9.880,0.00,2.22
1789497832,13.050,0.00,3.40
1789497837,5.012,0.00,3.21
1789497842,4.681,0.00,3.19
1789497847,5.206,0.00,3.02
1789497852,5.624,0.00,2.85
1789497857,5.943,0.00,2.79
1789497862,6.283,0.00,2.64
1789497867,4.770,0.00,2.59
1789497872,8.081,0.00,2.46
1789497877,6.039,0.00,2.51
1789497882,15.914,0.32,2.47
1789497887,14.832,0.58,2.51
1789497892,12.662,0.44,2.47
1789497897,14.381,0.29,2.51
1789497902,26.875,1.43,2.55
1789497907,98.226,11.94,4.91
1789497912,99.088,20.69,6.44
1789497917,98.963,22.52,7.84
1789497922,97.926,26.90,9.30
1789497927,98.850,27.38,10.88
1789497932,89.526,25.94,12.09
1789497937,30.321,17.54,11.52
1789497942,21.545,9.63,11.00
1789497947,30.910,6.81,10.76
1789497952,61.437,4.85,10.46
1789497957,44.621,4.75,10.10
1789497962,34.547,4.05,10.25
1789497967,33.502,2.72,9.99
1789497972,32.148,1.61,9.67
1789497977,75.046,6.25,10.82
1789497982,30.777,4.46,10.67
1789497987,20.935,3.17,10.06
1789497992,15.043,2.04,9.41
1789497997,15.250,1.37,8.74
1789498002,12.657,0.75,8.20
1789498007,16.386,0.50,7.78
