suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,163003,11883,7694,ok
Ed25519,0,154454,6148,2752,ok
Ed25519,1,158023,6184,2694,ok
ML-DSA-65,1,522295,15080,7582,ok
ML-DSA-65,2,161156,11833,7581,ok
Ed25519,2,151941,6148,2700,ok
Ed25519,3,153248,6148,2746,ok
ML-DSA-65,3,516102,15080,7532,ok
ML-DSA-65,4,376049,11850,9972,ok
Ed25519,4,155519,6184,2753,ok
Ed25519,5,153974,6148,2700,ok
ML-DSA-65,5,163244,11833,7627,ok
ML-DSA-65,6,158998,11882,7587,ok
Ed25519,6,151578,6148,2700,ok
Ed25519,7,151522,6148,2700,ok
ML-DSA-65,7,378464,13930,7534,ok
ML-DSA-65,8,156992,11882,7579,ok
Ed25519,8,153367,6148,2700,ok
Ed25519,9,152339,6148,2700,ok
ML-DSA-65,9,160351,11833,7632,ok
