suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,296094,11932,7679,ok
Ed25519,0,194192,6184,2746,ok
Ed25519,1,229308,6184,2746,ok
ML-DSA-65,1,244539,11932,7681,ok
ML-DSA-65,2,246182,11932,7684,ok
Ed25519,2,239555,6184,2746,ok
Ed25519,3,245950,6184,2746,ok
ML-DSA-65,3,260569,11932,7686,ok
ML-DSA-65,4,275518,11932,7681,ok
Ed25519,4,285378,6184,2746,ok
Ed25519,5,233320,6184,2746,ok
ML-DSA-65,5,288828,11933,7597,ok
ML-DSA-65,6,299489,11882,7638,ok
Ed25519,6,219215,6184,2746,ok
Ed25519,7,235723,6184,2746,ok
ML-DSA-65,7,260938,11933,7631,ok
ML-DSA-65,8,268110,11932,7684,ok
Ed25519,8,261582,6184,2746,ok
Ed25519,9,261308,6184,2746,ok
ML-DSA-65,9,268942,11783,7483,ok
