suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,556412,10706,8727,ok
Ed25519,0,208846,4984,2694,ok
Ed25519,1,227843,4984,2694,ok
ML-DSA-65,1,462087,10706,8572,ok
ML-DSA-65,2,479086,10706,8720,ok
Ed25519,2,243592,4984,2694,ok
Ed25519,3,245879,4984,2694,ok
ML-DSA-65,3,487605,10706,8568,ok
ML-DSA-65,4,510665,10706,8714,ok
Ed25519,4,292171,4984,2694,ok
Ed25519,5,241788,4984,2694,ok
ML-DSA-65,5,532622,10706,8726,ok
ML-DSA-65,6,559017,10707,8724,ok
Ed25519,6,212616,4984,2694,ok
Ed25519,7,236013,4984,2694,ok
ML-DSA-65,7,477451,10706,8715,ok
ML-DSA-65,8,482464,10706,7673,ok
Ed25519,8,251595,4984,2694,ok
Ed25519,9,253334,4984,2694,ok
ML-DSA-65,9,489976,10706,8729,ok
