suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,1706890,11906,8717,ok
Ed25519,0,608470,4958,2694,ok
Ed25519,1,571181,4958,2694,ok
ML-DSA-65,1,1219832,10706,8729,ok
ML-DSA-65,2,1920184,12706,8427,ok
Ed25519,2,547638,4958,2694,ok
Ed25519,3,579371,4984,2694,ok
ML-DSA-65,3,2059096,12304,8877,ok
ML-DSA-65,4,1592316,11907,7667,ok
Ed25519,4,556561,4984,2694,ok
Ed25519,5,575767,4958,2694,ok
ML-DSA-65,5,1992265,11904,11118,ok
ML-DSA-65,6,1236534,10706,8728,ok
Ed25519,6,571222,4984,2694,ok
Ed25519,7,601687,4958,2694,ok
ML-DSA-65,7,2303365,14247,8785,ok
ML-DSA-65,8,1632926,11907,7968,ok
Ed25519,8,560200,4984,2694,ok
Ed25519,9,600362,4958,2694,ok
ML-DSA-65,9,2044671,13109,8785,ok
