suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,152672,10599,7435,ok
Ed25519,0,153145,6148,2700,ok
Ed25519,1,154117,6148,2700,ok
ML-DSA-65,1,156673,10599,7439,ok
ML-DSA-65,2,155186,10599,7434,ok
Ed25519,2,152080,6148,2700,ok
Ed25519,3,153710,6148,2701,ok
ML-DSA-65,3,152762,10599,7435,ok
ML-DSA-65,4,153686,10599,7433,ok
Ed25519,4,154573,6184,2700,ok
Ed25519,5,160575,6184,2701,ok
ML-DSA-65,5,155472,10635,7486,ok
ML-DSA-65,6,152935,10599,7443,ok
Ed25519,6,152109,6148,2700,ok
Ed25519,7,152245,6148,2700,ok
ML-DSA-65,7,152114,10599,7445,ok
ML-DSA-65,8,153028,10599,7432,ok
Ed25519,8,152088,6148,2700,ok
Ed25519,9,152146,6148,2700,ok
ML-DSA-65,9,152577,10599,7434,ok
ML-DSA-65,10,152714,10599,7445,ok
Ed25519,10,151994,6148,2700,ok
Ed25519,11,152049,6148,2700,ok
ML-DSA-65,11,152411,10599,7437,ok
ML-DSA-65,12,152907,10599,7443,ok
Ed25519,12,152176,6148,2700,ok
Ed25519,13,152752,6148,2700,ok
ML-DSA-65,13,152548,10599,7433,ok
ML-DSA-65,14,152353,10599,7437,ok
Ed25519,14,152199,6148,2700,ok
Ed25519,15,152088,6148,2700,ok
ML-DSA-65,15,152375,10599,7497,ok
ML-DSA-65,16,153033,10599,7446,ok
Ed25519,16,152248,6148,2701,ok
Ed25519,17,152423,6148,2700,ok
ML-DSA-65,17,152529,10599,7439,ok
ML-DSA-65,18,152954,10599,7447,ok
Ed25519,18,152146,6148,2700,ok
Ed25519,19,152062,6148,2700,ok
ML-DSA-65,19,152340,10599,7442,ok
