suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,288438,10706,7578,ok
Ed25519,0,152500,4948,2700,ok
Ed25519,1,151726,4948,2700,ok
ML-DSA-65,1,289200,10706,8667,ok
ML-DSA-65,2,289449,10706,8668,ok
Ed25519,2,151778,4948,2700,ok
Ed25519,3,152063,4948,2700,ok
ML-DSA-65,3,288472,10707,8676,ok
ML-DSA-65,4,287753,10707,8667,ok
Ed25519,4,152314,4948,2700,ok
Ed25519,5,152088,4948,2700,ok
ML-DSA-65,5,288325,10706,8065,ok
ML-DSA-65,6,289245,10707,8668,ok
Ed25519,6,151797,4948,2700,ok
Ed25519,7,152139,4948,2700,ok
ML-DSA-65,7,287733,10707,8527,ok
ML-DSA-65,8,287776,10706,8667,ok
Ed25519,8,151809,4948,2700,ok
Ed25519,9,152320,4948,2700,ok
ML-DSA-65,9,287805,10707,8665,ok
ML-DSA-65,10,288345,10706,7917,ok
Ed25519,10,152411,4948,2701,ok
Ed25519,11,151816,4948,2700,ok
ML-DSA-65,11,289878,10706,8378,ok
ML-DSA-65,12,289011,10706,8676,ok
Ed25519,12,151716,4948,2700,ok
Ed25519,13,152235,4948,2700,ok
ML-DSA-65,13,287632,10707,8676,ok
ML-DSA-65,14,288318,10706,8672,ok
Ed25519,14,152629,4948,2700,ok
Ed25519,15,151614,4948,2700,ok
ML-DSA-65,15,289371,10706,8529,ok
ML-DSA-65,16,288420,10706,8665,ok
Ed25519,16,151701,4948,2700,ok
Ed25519,17,151900,4948,2700,ok
ML-DSA-65,17,288178,10706,7590,ok
ML-DSA-65,18,289984,10706,8370,ok
Ed25519,18,152062,4948,2700,ok
Ed25519,19,152331,4948,2700,ok
ML-DSA-65,19,288771,10706,7577,ok
